epoch,train_prediction,train_total,train_reconstruction,train_variance,train_covariance,val_mse,val_mae,learning_rate,epoch_seconds_before_monitor
1,0.7698247572888997,0.7698247572888997,0.0,0.0,0.0,0.7449828815188576,0.7236050699854026,0.001,3.176087378989905
2,0.7274741170435499,0.7274741170435499,0.0,0.0,0.0,0.7403249966155185,0.7348774580117904,0.001,2.8561731170630082
3,0.7200852375774657,0.7200852375774657,0.0,0.0,0.0,0.7458293276033362,0.7046285055060127,0.001,2.8985170760424808
4,0.714399172735897,0.714399172735897,0.0,0.0,0.0,0.7302297268931754,0.7055503884402936,0.001,2.943865734967403
5,0.7110527581563997,0.7110527581563997,0.0,0.0,0.0,0.7278925373932472,0.7059564137683628,0.001,2.9479250239674
6,0.709609542512789,0.709609542512789,0.0,0.0,0.0,0.7246539103093936,0.700378618927855,0.001,2.9438992249779403
7,0.7032895979119205,0.7032895979119205,0.0,0.0,0.0,0.718824936091975,0.6942929483325151,0.001,2.9413828160613775
8,0.7007002826455719,0.7007002826455719,0.0,0.0,0.0,0.7143899590388184,0.7051573574406442,0.001,2.9516699189553037
9,0.6965428340755262,0.6965428340755262,0.0,0.0,0.0,0.7297079063560789,0.6966343803656002,0.001,2.959751253016293
10,0.6934416119589057,0.6934416119589057,0.0,0.0,0.0,0.7291987550092561,0.7257159290732896,0.001,2.979609697009437
11,0.6856754714385761,0.6856754714385761,0.0,0.0,0.0,0.7256860179311752,0.6940819598032304,0.0005,2.965159517014399
12,0.6729331635202723,0.6729331635202723,0.0,0.0,0.0,0.7382960018708598,0.7172125424419976,0.0005,2.898647036985494
13,0.6676388481598582,0.6676388481598582,0.0,0.0,0.0,0.7125590890096849,0.7045218540430438,0.0005,2.8861984499963
14,0.6577501946125108,0.6577501946125108,0.0,0.0,0.0,0.7136060791259263,0.6938125388820363,0.0005,2.8970114479307085
15,0.6508619009893964,0.6508619009893964,0.0,0.0,0.0,0.7239318816861773,0.6987514672785524,0.0005,2.909395220922306
16,0.6409161312211029,0.6409161312211029,0.0,0.0,0.0,0.7428819408386341,0.6853236208923779,0.00025,2.908081852016039
17,0.6204091691168371,0.6204091691168371,0.0,0.0,0.0,0.7389042789270501,0.6867896940018043,0.00025,2.8960991939529777
18,0.6085936207313752,0.6085936207313752,0.0,0.0,0.0,0.7469773153507108,0.6953921848414785,0.00025,2.922061081044376
19,0.6008124726810736,0.6008124726810736,0.0,0.0,0.0,0.7640313880541544,0.7011206744984386,0.000125,2.904771949048154
20,0.5835280633401357,0.5835280633401357,0.0,0.0,0.0,0.7724656606510719,0.6983787636776757,0.000125,2.9035372749203816
