epoch,train_prediction,train_total,train_reconstruction,train_variance,train_covariance,val_mse,val_mae,learning_rate,epoch_seconds_before_monitor
1,0.7262352978283504,0.7262352978283504,0.0,0.0,0.0,0.7199213288247152,0.6744183420506064,0.001,3.302020182949491
2,0.6836580174374131,0.6836580174374131,0.0,0.0,0.0,0.7235599870589597,0.677116724095861,0.001,3.2793486940208822
3,0.674980820619835,0.674980820619835,0.0,0.0,0.0,0.7152342170664364,0.6793921263099518,0.001,3.2891507719177753
4,0.6705449229366375,0.6705449229366375,0.0,0.0,0.0,0.6975153921279494,0.6670448968461791,0.001,3.270538436016068
5,0.6683611923343731,0.6683611923343731,0.0,0.0,0.0,0.7034419048614646,0.6857199760033778,0.001,3.274475611979142
6,0.6649182211228136,0.6649182211228136,0.0,0.0,0.0,0.7111592387240633,0.6635478216625682,0.001,3.2610841429559514
7,0.6641911655551982,0.6641911655551982,0.0,0.0,0.0,0.7005417067269231,0.6702629114884952,0.0005,3.242059099022299
8,0.6557215646078002,0.6557215646078002,0.0,0.0,0.0,0.6962495601153047,0.6746819090504502,0.0005,3.261800298001617
9,0.6527203286368892,0.6527203286368892,0.0,0.0,0.0,0.6988188708829672,0.6719217152561083,0.0005,3.247189721907489
10,0.6519987234079613,0.6519987234079613,0.0,0.0,0.0,0.7017155524807973,0.6747236890637335,0.0005,3.2287991490447894
11,0.6472216153594683,0.6472216153594683,0.0,0.0,0.0,0.706222295415352,0.6721708111398518,0.00025,3.305281156091951
12,0.638906363316302,0.638906363316302,0.0,0.0,0.0,0.7065770864165045,0.669569926634186,0.00025,3.2898227189434692
13,0.6350426049952237,0.6350426049952237,0.0,0.0,0.0,0.7127214359780726,0.670023202285369,0.00025,3.255123403039761
14,0.6295881707263443,0.6295881707263443,0.0,0.0,0.0,0.7120613468924052,0.6692383069545339,0.000125,3.2393933769781142
15,0.6216974852220067,0.6216974852220067,0.0,0.0,0.0,0.71481046681549,0.6718850909743787,0.000125,3.270772048039362
